selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,brand,model,car_age,km_per_year
366000,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0,Maruti,Alto K10 VXI Airbag,2,7500.0
1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,Hyundai,Verna VTVT 1.6 SX Option,2,2500.0
150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,Datsun,GO D,5,8400.0
425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7.0,Tata,Safari DICOR 2.2 LX 4x2,10,6000.0
150000,76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4.0,Maruti,800 Std,9,8444.444444444445
2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5.0,Jeep,Compass 1.4 Limited Plus BSIV,2,2500.0
925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0,Honda,City i VTEC VX,3,9633.333333333334
425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5.0,Honda,City V MT,8,10787.5
675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0,Maruti,Swift Dzire VXi AT,3,7766.666666666667
819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,Vitara Brezza VDi,3,10866.666666666666
390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,Maruti,Alto K10 VXI,3,3433.3333333333335
1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7.0,Toyota,Fortuner 4x4 MT,7,11000.0
700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7.0,Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV,8,12375.0
1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5.0,Mercedes-Benz,B Class B180,7,3971.4285714285716
425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0,Honda,Amaze S Diesel,6,8300.0
1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7.0,Mitsubishi,Pajero Sport 4X4,8,18875.0
600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0,Honda,City i DTEC S,6,9116.666666666666
850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0,Maruti,Ciaz Zeta,3,21333.333333333332
525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5.0,Honda,Jazz VX Diesel,6,10500.0
1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,Toyota,Innova Crysta 2.8 ZX AT BSIV,5,25540.0
950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7.0,Toyota,Innova 2.5 G (Diesel) 7 Seater,5,19800.0
1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5.0,Audi,A6 2.0 TDI Technology,8,4237.5
1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,Toyota,Corolla Altis 1.8 VL CVT,3,8333.333333333334
1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5.0,Audi,A6 2.0 TDI  Design Edition,8,6250.0
1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,5.0,Mercedes-Benz,New C-Class 220 CDI AT,8,7375.0
265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,Tata,Manza ELAN Quadrajet BS IV,10,12000.0
190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0,Hyundai,i10 Magna,10,11000.0
425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0,Hyundai,i20 Asta 1.4 CRDi,8,7500.0
630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0,Maruti,Swift Dzire ZDI,6,24500.0
600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0,Ford,Figo 1.2P Titanium MT,4,6250.0
650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,Maruti,Baleno Delta 1.2,2,15000.0
540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,Volkswagen,Ameo 1.5 TDI Highline 16 Alloy,5,8000.0
630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,Honda,City i DTEC VX,6,22500.0
448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,Maruti,Wagon R AMT VXI,3,10000.0
500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,Volkswagen,Ameo 1.5 TDI Comfortline,4,20000.0
745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,Vitara Brezza VDi,5,14000.0
1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0,Maruti,Vitara Brezza ZDi Plus AMT,2,4925.0
235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,Hyundai,i10 Magna,10,6000.0
630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,Maruti,Swift VDI Deca,5,14000.0
1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7.0,Toyota,Fortuner 4x4 MT,6,13000.0
450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,Maruti,Swift Star VDI,8,15000.0
450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7.0,Maruti,Ertiga ZXI,9,13333.333333333334
50000,70000,Diesel,Individual,Manual,First Owner,19.33,1248.0,82.0,5.0,Tata,Indica DLS,18,3888.8888888888887
450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0,Volkswagen,Vento Diesel Highline,8,21250.0
1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8.0,Toyota,Innova 2.5 VX (Diesel) 8 Seater,5,28000.0
610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,Ford,EcoSport 1.5 TDCi Titanium Plus BSIV,6,15000.0
2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,5.0,BMW,X1 sDrive20i xLine,5,6000.0
484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5.0,Maruti,Celerio ZXI MT BSIV,4,2500.0
275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5.0,Datsun,GO A Petrol,5,9800.0
315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,Maruti,Alto 800 VXI BSIV,5,6400.0
275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,Maruti,Alto 800 LXI BSIV,5,7600.0
475000,78000,Diesel,Dealer,Manual,First Owner,19.33,1248.0,82.0,5.0,Maruti,Swift VDI BSIV W ABS,6,13000.0
290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0,Hyundai,i10 Era 1.1,9,3111.1111111111113
280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5.0,Maruti,Omni 8 Seater BSIV,4,8000.0
225000,44000,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,5.0,Maruti,Wagon R LXI LPG BSIV,11,4000.0
455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5.0,Volkswagen,Polo 1.2 MPI Comfortline,6,7000.0
351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5.0,Hyundai,i10 Magna 1.1L,6,7500.0
535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5.0,Volkswagen,Vento Petrol Highline,9,1333.3333333333333
175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0,Maruti,Zen Estilo LXI BSIII,12,4625.0
525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5.0,Hyundai,i20 Asta Optional with Sunroof 1.2,8,7687.5
600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,Maruti,Swift Dzire LDI,5,30000.0
565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5.0,Hyundai,Xcent 1.2 Kappa SX Option AT,5,14400.0
120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5.0,Maruti,Alto LX BSIII,13,5230.7692307692305
725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,Hyundai,i20 1.4 Asta Option,4,27500.0
185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5.0,Maruti,Wagon R VXI,12,6416.666666666667
200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0,Tata,Manza Aura (ABS) Quadrajet,11,9090.90909090909
615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,Maruti,Swift VXI,2,5000.0
270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,7.0,Maruti,Eeco 7 Seater Standard BSIV,5,20000.0
610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,Maruti,Baleno Zeta 1.2,3,11666.666666666666
625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8.0,Mahindra,Scorpio VLX AT AIRBAG BSIV,7,10000.0
400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0,Ford,Freestyle Titanium Petrol BSIV,1,5000.0
866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,Hyundai,Verna VTVT 1.6 SX,4,9450.0
700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,5.0,Volkswagen,Passat 1.8 TSI MT,11,10363.636363636364
300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5.0,Tata,Indica Vista Aura 1.2 Safire (ABS) BS IV,11,4363.636363636364
1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,7.0,Mahindra,XUV500 W11 Option AWD,2,16000.0
375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0,Tata,Indigo CS LS (TDI) BS-III,5,20000.0
522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0,Hyundai,Verna 1.6 SX,8,18750.0
451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,Hyundai,i20 Magna 1.4 CRDi (Diesel),8,8625.0
300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5.0,Toyota,Corolla Altis G,12,8333.333333333334
475000,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,Maruti,Celerio VXI,1,13000.0
780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti,Vitara Brezza ZDi Plus Dual Tone,5,12000.0
595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,Maruti,Swift Dzire VXI,4,10000.0
440000,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,Maruti,Wagon R VXI BS IV,4,8750.0
300000,120000,Diesel,Individual,Manual,Second Owner,19.33,1248.0,82.0,5.0,Maruti,Swift VDI BSIV,11,10909.09090909091
400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5.0,Nissan,Terrano XL 85 PS,7,10000.0
1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,Hyundai,Creta 1.6 CRDi SX,5,10000.0
850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,Ford,EcoSport 1.5 Diesel Titanium Plus BSIV,4,19034.75
370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0,Maruti,Swift Dzire VDi,9,19444.444444444445
350000,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,Renault,KWID 1.0,3,8333.333333333334
360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5.0,Maruti,Celerio VXI,6,6666.666666666667
105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0,Maruti,Alto LXi,13,5000.0
625000,90000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,Maruti,Ertiga VDI,8,11250.0
135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0,Hyundai,Santro Xing GLS,12,6666.666666666667
700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,Maruti,Ertiga VDI,6,18333.333333333332
690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5.0,Honda,Amaze S i-VTEC,2,651.5
3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,5.0,Audi,Q5 35TDI Premium Plus,3,10600.0
5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,5.0,Lexus,ES 300h,2,10000.0
3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5.0,Jaguar,XF 2.0 Diesel Portfolio,4,11250.0
4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,5.0,Jeep,Wrangler 2016-2019 3.6 4X4,4,4250.0
4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,7.0,Land,Rover Discovery Sport TD4 SE,2,10500.0
6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,5.0,Mercedes-Benz,S-Class S 350 CDI,4,9250.0
3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5.0,BMW,5 Series 520d Sport Line,3,9833.333333333334
2150000,27000,Diesel,Dealer,Automatic,First Owner,19.33,1248.0,82.0,5.0,BMW,X1 sDrive 20D xLine,4,6750.0
5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0,BMW,X4 M Sport X xDrive20d,2,3750.0
1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5.0,Skoda,Superb LK 1.8 TSI AT,3,16666.666666666668
2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,5.0,Mercedes-Benz,E-Class E250 Edition E,5,7000.0
1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5.0,MG,Hector Sharp AT BSIV,2,9500.0
795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5.0,Honda,City i-VTEC CVT VX,4,10250.0
625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,Toyota,Corolla Altis 1.8 G CVT,8,4875.0
3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,5.0,Volvo,XC40 D4 R-Design,3,7333.333333333333
2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,7.0,Audi,Q7 35 TDI Quattro Premium,6,8833.333333333334
535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5.0,Maruti,Ciaz ZDi,6,6666.666666666667
5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,282.0,5.0,Mercedes-Benz,S-Class S 350 CDI,4,11750.0
975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,5.0,BMW,5 Series 523i,11,6563.636363636364
805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,5.0,Hyundai,Elantra S,5,9980.0
2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5.0,Jaguar,XE 2016-2019 2.0L Diesel Prestige,4,2250.0
811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5.0,Tata,Nexon 1.2 Revotron XZ Plus Dual Tone,3,3666.6666666666665
375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5.0,Volkswagen,Vento Petrol Highline,10,4900.0
550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,5.0,Hyundai,Elantra SX,9,10555.555555555555
645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5.0,Skoda,Rapid 1.6 MPI AT Elegance,5,2200.0
2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,5.0,Mercedes-Benz,CLA 200 CGI Sport,3,6000.0
599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,7.0,Maruti,Ertiga ZXI,7,6585.714285714285
2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,5.0,Mercedes-Benz,New C-Class C 200 AVANTGARDE,4,4000.0
875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5.0,Honda,City V AT,4,4500.0
894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5.0,Toyota,Glanza V CVT,2,4827.0
175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,Maruti,Alto K10 VXI,10,1100.0
340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5.0,Maruti,Swift VXI,9,2700.0
1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,Toyota,Innova Crysta 2.8 ZX AT BSIV,5,8432.6
1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5.0,Tata,Nexon 1.5 Revotorq XZA Plus DualTone,3,2666.6666666666665
2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0,BMW,3 Series 320d Luxury Line,5,6000.0
1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,5.0,Toyota,Camry 2.5 Hybrid,5,8200.0
2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,5.0,BMW,5 Series 520d Luxury Line,5,2400.0
450000,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362.0,164.7,5.0,Toyota,Camry W4 (AT),12,5916.666666666667
850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,7.0,Maruti,Ertiga BSIV ZXI Plus,5,4000.0
10000000,30000,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,4.0,Volvo,XC90 T8 Excellence BSIV,4,7500.0
300000,100000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5.0,Volkswagen,Vento Diesel Highline,10,10000.0
575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,Ford,Figo Aspire 1.2 Ti-VCT Trend,3,3166.6666666666665
160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,Ford,Figo Diesel LXI,10,12000.0
515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,Maruti,Swift VXI Optional,6,6100.0
390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5.0,Maruti,Wagon R AMT VXI,6,8333.333333333334
550000,14000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,Hyundai,i20 Magna 1.2,5,2800.0
40000,40000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,Maruti,800 Std,22,1818.1818181818182
220000,120000,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5.0,Maruti,Ritz VDi,11,10909.09090909091
425000,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,Hyundai,Grand i10 Magna,6,11666.666666666666
480000,13000,Petrol,Individual,Manual,First Owner,19.44,999.0,75.0,5.0,Volkswagen,Ameo 1.0 MPI Trendline,2,6500.0
400000,60000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0,Hyundai,Grand i10 Sportz,7,8571.42857142857
487000,35000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5.0,Maruti,Swift Dzire VXI,7,5000.0
386000,44000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,5.0,Hyundai,Xcent 1.2 Kappa S,5,8800.0
100000,120000,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,5.0,Honda,City 1.5 EXI,16,7500.0
300000,60000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5.0,Toyota,Corolla Altis Diesel D4DG,11,5454.545454545455
100000,60000,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5.0,Daewoo,Matiz SD,21,2857.1428571428573
1750000,30000,Diesel,Individual,Manual,Second Owner,13.0,2982.0,168.5,7.0,Toyota,Fortuner 4x2 Manual,7,4285.714285714285
450000,15000,Petrol,Individual,Manual,Second Owner,18.15,1198.0,82.0,6.0,Mahindra,KUV 100 mFALCON G80 K8,5,3000.0
490000,90000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5.0,Tata,Zest Quadrajet 1.3 75PS XM,4,22500.0
345000,47000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5.0,Honda,City 1.5 S MT,12,3916.6666666666665
85000,90000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5.0,Maruti,Zen LXI,16,5625.0
215000,120600,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5.0,Maruti,Wagon R VXI BS IV with ABS,11,10963.636363636364
320000,100000,Petrol,Individual,Manual,Third Owner,16.2,1599.0,103.2,5.0,Hyundai,Verna Transform SX VTVT,11,9090.90909090909
459999,60000,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,5.0,Maruti,Swift Dzire VXI,5,12000.0
65000,86000,Petrol,Individual,Manual,First Owner,15.3,1341.0,83.0,5.0,Hyundai,Getz GLS,16,5375.0
720000,5000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0,Hyundai,Elite i20 Sportz Plus BSIV,1,5000.0
800000,37000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5.0,Maruti,Ciaz 1.3 Alpha,4,9250.0
520000,14000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,5.0,Tata,Tigor 1.2 Revotron XZ,2,7000.0
580000,70000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0,Maruti,Ertiga VDI,6,11666.666666666666
235000,120000,Diesel,Individual,Manual,First Owner,19.33,1248.0,82.0,5.0,Toyota,Etios GD,9,13333.333333333334
600000,50000,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,5.0,Honda,City i VTEC S,6,8333.333333333334
